,year,adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genres,budget,revenue,best_picture_winner
197,2016,False,95610,en,Bridget Jones's Baby,"After breaking up with Mark Darcy five years earlier, Bridget Jones' happily-ever-after hasn't quite gone according to plan. Fortysomething and single again, she decides to focus on her job as top news producer and surround herself with old friends and new. For once, Bridget has everything completely under control. Then her love life takes a turn - while a weekend away at a music festival, she meets a dashing American named Jack, who is everything Mark is not, and spends a night with him. A week later, she runs into newly-separated Mark, and has a one-night dalliance. In an unlikely twist, she finds herself pregnant, but with one hitch - she's not sure of the identity of her baby's father - Mark or Jack.",4.1166,2016-09-14,bridget jones's baby,6.4,3022,"[""'Drama'"", "" 'Comedy'"", "" 'Romance'""]",35000000,211952420,False
198,2016,False,382591,fr,Demain tout commence,A man without attachments or responsibilities suddenly finds himself with an abandoned baby and leaves for London to try and find the mother. Eight years later after he and his daughter become inseparable Gloria's mother reappears.,2.5983,2016-12-07,two is a family,7.732,3020,"[""'Drama'"", "" 'Comedy'""]",0,1447740,False
199,2016,False,313922,en,Green Room,A punk rock band is forced to fight for survival after witnessing an act of violence at a skinhead bar.,5.1048,2016-04-15,green room,6.726,2836,"[""'Horror'"", "" 'Crime'"", "" 'Thriller'""]",5000000,3800000,False
200,2017,False,315635,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",13.1014,2017-07-05,spider-man: homecoming,7.3,22607,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",175000000,880166924,False
201,2017,False,283995,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,8.9179,2017-04-19,guardians of the galaxy vol. 2,7.611,22397,"[""'Science Fiction'"", "" 'Adventure'"", "" 'Action'""]",200000000,863756051,False
202,2017,False,284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",9.0515,2017-10-02,thor: ragnarok,7.583,21509,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",180000000,855301806,False
203,2017,False,297762,en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,11.8898,2017-05-30,wonder woman,7.214,20523,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",149000000,823970682,False
204,2017,False,354912,en,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",26.4663,2017-10-27,coco,8.2,20410,"[""'Family'"", "" 'Animation'"", "" 'Music'"", "" 'Adventure'""]",175000000,814641172,False
205,2017,False,263115,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",7.9284,2017-02-28,logan,7.82,19944,"[""'Action'"", "" 'Drama'"", "" 'Science Fiction'""]",97000000,619021436,False
206,2017,False,346364,en,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",22.6604,2017-09-06,it,7.238,19789,"[""'Horror'"", "" 'Thriller'""]",35000000,704242888,False
207,2017,False,419430,en,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",8.202,2017-02-24,get out,7.6,18282,"[""'Mystery'"", "" 'Thriller'"", "" 'Horror'""]",4500000,255407969,False
208,2017,False,381288,en,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",6.7896,2017-01-19,split,7.343,17946,"[""'Horror'"", "" 'Thriller'""]",9000000,278454358,False
209,2017,False,374720,en,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",6.3864,2017-07-19,dunkirk,7.449,17103,"[""'War'"", "" 'Action'"", "" 'Drama'""]",150000000,527000000,False
